TimeStamp,ReactivePower_kVAr,Power_kW,WindSpeed_mps,ErrorCode,GenState,RunState,RotorSpeed_rpm,RotorSpeedAve,RotorOverSpeed,RotorUnderSpeed
2018-04-01 00:00:52.584,907,-1,8.358698,416,1,3,0.03000221,0.001997522,0,0
2018-04-01 00:04:09.477,907,-1,7.520997,416,1,3,0,6.339946E-005,0,0
2018-04-01 00:07:54.942,906,-1,7.315005,416,1,3,-0.04500332,-0.00435743,0,0
2018-04-01 00:08:04.105,906,-1,4.888877,416,1,3,-0.01500111,-0.001309649,0,0
2018-04-01 00:08:11.285,906,-1,7.225741,416,1,3,0.03000221,0.002464989,0,0
2018-04-01 00:09:49.316,907,-1,6.180904,416,1,3,-0.03000221,-0.002931967,0,0
2018-04-01 00:15:18.129,908,-1,7.315005,416,1,3,0.04500332,0.004727393,0,0
2018-04-01 00:15:25.219,908,-1,8.732916,416,1,3,0.03000221,0.003141596,0,0
2018-04-01 00:15:49.754,910,-1,8.124096,416,1,3,0.01500111,0.001548223,0,0
2018-04-01 00:17:24.991,912,-1,9.627837,416,1,3,0.03000221,0.003138645,0,0
2018-04-01 00:19:14.198,911,-1,9.061359,416,1,3,0.09000664,0.009424963,0,0
2018-04-01 00:19:16.221,911,-1,8.747793,416,1,3,0.1050077,0.01095741,0,0
2018-04-01 00:22:38.712,911,-1,9.135745,416,1,3,0.04500332,0.004793298,0,0
2018-04-01 00:25:09.699,910,-1,8.07832,416,1,3,0.01500111,0.001724654,0,0
2018-04-01 00:27:25.415,911,-1,7.895216,416,1,3,0,1.490184E-019,0,0
2018-04-01 00:28:52.219,912,-1,5.927992,416,1,3,0.04500332,0.004711926,0,0
2018-04-01 00:29:12.629,912,-1,8.761526,416,1,3,0.01500111,0.001571966,0,0
2018-04-01 00:30:52.803,908,-1,6.509347,416,1,3,0,4.642433E-013,0,0
2018-04-01 00:32:07.470,909,-1,10.22293,416,1,3,0,-1.002525E-012,0,0
2018-04-01 00:32:53.466,909,-1,11.03774,416,1,3,0,9.513741E-005,0,0
2018-04-01 00:40:15.362,909,-1,6.115674,416,1,3,0,0.0006438949,0,0
2018-04-01 00:40:50.042,909,-1,8.62992,416,1,3,0,6.417104E-016,0,0
2018-04-01 00:43:26.286,910,-1,6.57,416,1,3,0.01500111,0.001570788,0,0
2018-04-01 00:49:54.244,911,-1,7.567917,416,1,3,0.01500111,0.001766864,0,0
2018-04-01 00:50:05.460,911,-1,9.309694,416,1,3,0.06000442,0.006281908,0,0
2018-04-01 00:53:27.030,912,-1,4.349864,416,1,3,-0.01500111,-0.001572469,0,0
2018-04-01 00:54:16.041,911,-1,5.79753,416,1,3,0,-2.453215E-039,0,0
2018-04-01 00:55:47.142,912,-1,5.829574,416,1,3,0.04500332,0.004707139,0,0
2018-04-01 00:58:03.928,912,-1,7.670913,416,1,3,0.01500111,0.001783275,0,0
2018-04-01 00:58:10.017,913,-1,8.129817,416,1,3,0,3.449019E-006,0,0
2018-04-01 00:58:23.346,912,-1,5.478243,416,1,3,0.03000221,0.003129931,0,0
2018-04-01 00:58:28.454,912,-1,7.670913,416,1,3,0.01500111,0.001570833,0,0
2018-04-01 00:59:08.241,913,-1,7.047215,416,1,3,0.06000442,0.006062363,0,0
2018-04-01 01:00:58.720,914,-1,4.280056,416,1,3,0.07500553,0.007866858,0,0
2018-04-01 01:01:15.023,915,-1,6.668419,416,1,3,0.04500332,0.004712389,0,0
2018-04-01 01:01:50.704,914,-1,4.280056,416,1,3,0.01500111,0.001570828,0,0
2018-04-01 01:02:33.566,914,-1,5.146367,416,1,3,0.01500111,0.001454843,0,0
2018-04-01 01:05:44.551,915,-1,7.154788,416,1,3,0,0.0001279877,0,0
2018-04-01 01:08:02.389,916,-1,6.180904,416,1,3,0,-2.005934E-037,0,0
2018-04-01 01:12:24.275,916,-1,8.387307,416,1,3,0.03000221,0.003141513,0,0
2018-04-01 01:15:27.218,916,-1,6.293056,416,1,3,0,-0.0001418693,0,0
2018-04-01 01:17:20.101,917,-1,7.131901,416,1,3,0,1.08451E-016,0,0
2018-04-01 01:17:43.444,917,-1,5.23563,416,1,3,0,2.546899E-006,0,0
2018-04-01 01:18:15.200,915,-1,5.862761,416,1,3,1.875138,0.1871039,0,0
2018-04-01 01:19:35.896,915,-1,5.665925,416,1,3,0,-2.110603E-013,0,0
2018-04-01 01:27:29.737,917,-1,4.855689,416,1,3,0.1050077,0.01042215,0,0
2018-04-01 01:29:38.693,918,-1,4.973562,416,1,3,0.09000664,0.009532169,0,0
2018-04-01 01:33:02.356,917,-1,3.212331,416,1,3,0,-6.011819E-019,0,0
2018-04-01 01:34:43.641,917,-1,5.782653,416,1,3,0.03000221,0.003141593,0,0
2018-04-01 01:34:49.760,917,-1,4.401362,416,1,3,0.03000221,0.003098514,0,0
2018-04-01 01:36:18.788,918,-1,6.771415,416,1,3,0,7.733045E-007,0,0
2018-04-01 01:36:26.940,918,-1,6.930486,416,1,3,0.01500111,0.001570796,0,0
2018-04-01 01:39:13.419,917,-1,6.2839,416,1,3,0,-3.890784E-007,0,0
2018-04-01 01:39:48.159,918,-1,2.963996,416,1,3,0.01500111,0.0009849902,0,0
2018-04-01 01:40:43.469,917,-1,5.038793,416,1,3,0,9.265327E-009,0,0
2018-04-01 01:41:09.096,917,-1,6.532235,416,1,3,0.01500111,0.003062968,0,0
2018-04-01 01:41:26.481,916,-1,4.448283,416,1,3,0,-4.652549E-006,0,0
2018-04-01 01:44:28.793,915,-1,6.021833,416,1,3,0.01500111,0.001570797,0,0
2018-04-01 01:45:34.267,915,-1,6.953374,416,1,3,0.03000221,0.003030231,0,0
2018-04-01 01:47:33.939,914,-1,4.846534,416,1,3,0.03000221,0.003141853,0,0
