Row Labels;Average of locomotivekilometres;Average of trainkilometres
10;15278,7;6664,35
20;13420,7;5172,65
40;1858;1491,7
50;53437,15;43002,75
60;31354;26892,6
70;22083,15;16110,15
SSS;68715,85;49667
Grand Total;29449,65;21285,88571
