Month,Day,Hour,Sammonpuistikko,Hietaniemenkatu,Eteläinen Hesperiankatu,Kesäkatu
6,1,0,5.75,,12.0,14.416666666666666
6,1,1,5.666666666666667,,12.0,15.0
6,1,2,6.916666666666667,,12.0,15.0
6,1,3,7.0,,12.0,15.0
6,1,4,7.0,,12.0,15.0
6,1,5,7.0,,12.166666666666666,15.0
6,1,6,6.166666666666667,,11.916666666666666,14.166666666666666
6,1,7,2.9166666666666665,,11.916666666666666,14.666666666666666
6,1,8,1.5833333333333333,,8.166666666666666,17.333333333333332
6,1,9,0.5833333333333334,,2.1666666666666665,21.666666666666668
6,1,10,5.25,,1.75,21.25
6,1,11,5.666666666666667,,3.25,12.25
6,1,12,4.166666666666667,,1.9166666666666667,11.583333333333334
6,1,13,3.8,,2.0,12.0
6,1,14,5.083333333333333,,3.4166666666666665,8.333333333333334
6,1,15,7.583333333333333,,6.5,8.833333333333334
6,1,16,6.416666666666667,,7.833333333333333,5.583333333333333
6,1,17,5.083333333333333,,13.333333333333334,4.166666666666667
6,1,18,4.166666666666667,,13.166666666666666,3.6666666666666665
6,1,19,3.3333333333333335,,15.833333333333334,7.583333333333333
6,1,20,4.666666666666667,,16.333333333333332,6.583333333333333
6,1,21,3.3333333333333335,,14.333333333333334,7.25
6,1,22,8.833333333333334,,13.833333333333334,7.083333333333333
6,1,23,10.5,,14.0,6.0
6,2,0,12.0,,14.0,6.0
6,2,1,11.083333333333334,,14.0,6.0
6,2,2,10.666666666666666,,14.0,6.0
6,2,3,10.0,,14.0,6.0
6,2,4,10.0,,14.0,6.0
6,2,5,10.0,,14.083333333333334,6.166666666666667
6,2,6,9.0,,15.0,7.166666666666667
6,2,7,5.333333333333333,,14.583333333333334,8.666666666666666
6,2,8,0.25,,10.583333333333334,10.166666666666666
6,2,9,0.5833333333333334,,8.833333333333334,16.583333333333332
6,2,10,0.0,,7.666666666666667,17.5
6,2,16,5.0,,12.583333333333334,12.0
6,2,17,3.0,,16.166666666666668,13.916666666666666
6,2,18,2.5,,13.583333333333334,12.0
6,2,19,3.75,,12.416666666666666,12.916666666666666
6,2,20,3.5833333333333335,,11.583333333333334,14.916666666666666
6,2,21,5.666666666666667,,14.833333333333334,15.0
6,2,22,6.083333333333333,,14.416666666666666,16.0
6,2,23,7.083333333333333,,16.916666666666668,15.916666666666666
6,3,0,6.333333333333333,,18.0,15.0
6,3,1,6.666666666666667,,18.75,15.0
6,3,2,6.083333333333333,,19.0,15.0
6,3,3,6.0,,19.0,15.0
6,3,4,6.333333333333333,,19.0,15.0
6,3,5,5.166666666666667,,19.0,15.0
6,3,6,2.0833333333333335,,18.0,14.25
6,3,7,1.0,,18.0,14.0
6,3,8,1.75,,18.0,14.0
6,3,9,0.4166666666666667,,17.583333333333332,14.0
6,3,10,0.8333333333333334,,18.5,14.0
6,3,11,0.5,,20.0,13.5
6,3,12,0.4166666666666667,,16.083333333333332,14.833333333333334
6,3,13,4.25,,7.75,14.0
6,3,14,9.333333333333334,,11.666666666666666,11.083333333333334
6,3,15,6.333333333333333,,12.916666666666666,8.916666666666666
6,3,16,5.833333333333333,,15.5,12.833333333333334
6,3,17,4.5,,16.166666666666668,13.833333333333334
6,3,18,0.8333333333333334,,16.416666666666668,13.166666666666666
6,3,19,0.75,,18.416666666666668,12.5
6,3,20,6.0,,18.5,10.5
6,3,21,5.083333333333333,,21.916666666666668,13.5
6,3,22,8.916666666666666,,22.916666666666668,12.75
6,3,23,6.75,,22.0,9.333333333333334
6,4,0,3.090909090909091,,22.636363636363637,9.0
6,4,1,3.3333333333333335,,24.083333333333332,10.666666666666666
6,4,2,4.25,,26.0,11.0
6,4,3,3.1666666666666665,,26.166666666666668,11.583333333333334
6,4,4,3.0833333333333335,,26.333333333333332,12.0
6,4,5,1.1666666666666667,,27.0,12.0
6,4,6,1.5,,27.0,12.0
6,4,7,1.0,,27.0,11.75
6,4,8,0.25,,27.0,11.666666666666666
