id,start,end,tags,hours,hours_per_tag
239,2024-09-05 12:43:02,2024-09-05 13:26:08,tic,0.7183333333333334,0.17958333333333334
239,2024-09-05 12:43:02,2024-09-05 13:26:08,ttv,0.7183333333333334,0.17958333333333334
239,2024-09-05 12:43:02,2024-09-05 13:26:08,valintakoe - windows vm,0.7183333333333334,0.17958333333333334
239,2024-09-05 12:43:02,2024-09-05 13:26:08,yfs,0.7183333333333334,0.17958333333333334
238,2024-09-06 04:10:28,2024-09-06 04:25:19,communication,0.2475,0.12375
238,2024-09-06 04:10:28,2024-09-06 04:25:19,ttv,0.2475,0.12375
237,2024-09-06 04:26:36,2024-09-06 06:14:38,discrete: teaching fi,1.8005555555555555,0.9002777777777777
237,2024-09-06 04:26:36,2024-09-06 06:14:38,ttv,1.8005555555555555,0.9002777777777777
236,2024-09-06 06:32:57,2024-09-06 06:34:33,discrete: videos teams --> onedrive,0.02666666666666667,0.013333333333333334
236,2024-09-06 06:32:57,2024-09-06 06:34:33,ttv,0.02666666666666667,0.013333333333333334
235,2024-09-08 09:14:56,2024-09-08 09:57:23,dan,0.7075,0.35375
235,2024-09-08 09:14:56,2024-09-08 09:57:23,dan: planning,0.7075,0.35375
234,2024-09-08 12:43:43,2024-09-08 13:32:03,dan,0.8055555555555556,0.4027777777777778
234,2024-09-08 12:43:43,2024-09-08 13:32:03,dan: planning,0.8055555555555556,0.4027777777777778
233,2024-09-09 07:16:18,2024-09-09 07:42:06,communication,0.43,0.215
233,2024-09-09 07:16:18,2024-09-09 07:42:06,ttv,0.43,0.215
232,2024-09-09 08:13:57,2024-09-09 09:13:25,discrete: planning,0.9911111111111112,0.33037037037037037
232,2024-09-09 08:13:57,2024-09-09 09:13:25,tic,0.9911111111111112,0.33037037037037037
232,2024-09-09 08:13:57,2024-09-09 09:13:25,ttv,0.9911111111111112,0.33037037037037037
231,2024-09-09 09:13:28,2024-09-09 09:19:27,communication,0.09972222222222223,0.04986111111111111
231,2024-09-09 09:13:28,2024-09-09 09:19:27,ttv,0.09972222222222223,0.04986111111111111
230,2024-09-09 09:45:49,2024-09-09 10:25:15,discrete: planning,0.6572222222222223,0.2190740740740741
